Unique_ID,Population,Sex,Treatment,Individual,Side,Centroid Size,Log Centroid Size,ProcCoord1,ProcCoord2,ProcCoord3,ProcCoord4,ProcCoord5,ProcCoord6,ProcCoord7,ProcCoord8,ProcCoord9,ProcCoord10,ProcCoord11,ProcCoord12,ProcCoord13,ProcCoord14,ProcCoord15,ProcCoord16,ProcCoord17,ProcCoord18,ProcCoord19,ProcCoord20,ProcCoord21,ProcCoord22,ProcCoord23,ProcCoord24,ProcCoord25,ProcCoord26,ProcCoord27,ProcCoord28,ProcCoord29,ProcCoord30
G9_F_C_06_L,G9,F,C,6,L,2.250232366,0.811033485,0.249620489,0.069818994,0.239912684,0.02339871,0.267662187,-0.009252075,0.206872996,-0.051697023,0.197994094,-0.031880967,0.169561349,0.025692055,0.135274719,0.087224531,0.057567021,0.019337283,0.058367292,-0.004875272,-0.091068194,-0.033027665,-0.079250075,-0.097858998,-0.301724892,0.164884603,-0.4845255,0.051484042,-0.461910315,-0.030583092,-0.164353855,-0.182665126
G9_F_C_06_R,G9,F,C,6,R,2.251677992,0.811675712,0.248784128,0.068989454,0.239565037,0.023261644,0.262910565,-0.011192055,0.207051409,-0.051912193,0.196537976,-0.032732044,0.168655578,0.024737388,0.137632921,0.088036102,0.063444314,0.020463402,0.065575112,-0.003501324,-0.08927056,-0.03002088,-0.082821763,-0.098249149,-0.310012736,0.167088936,-0.481424435,0.050912635,-0.458790664,-0.034055692,-0.167836883,-0.181826225
G9_F_C_07_L,G9,F,C,7,L,2.808272326,1.032569464,0.251113303,0.069159377,0.239108525,0.022334362,0.26898212,-0.009372993,0.209202639,-0.053425378,0.198342872,-0.031426875,0.164381261,0.026020941,0.138049421,0.085839801,0.064292213,0.019625392,0.067089142,-0.00404808,-0.087900701,-0.030823862,-0.086540631,-0.099041607,-0.325441999,0.157522765,-0.474810521,0.050324783,-0.453227702,-0.02493253,-0.172639941,-0.177756096
G9_F_C_07_R,G9,F,C,7,R,2.811784909,1.033819481,0.248661259,0.070138093,0.240823199,0.02292102,0.268859068,-0.009096434,0.208904966,-0.053752844,0.197420676,-0.031270226,0.166549425,0.024586273,0.137230404,0.086573323,0.066186616,0.019242167,0.066939719,-0.003477664,-0.089389952,-0.030780375,-0.088254521,-0.101023113,-0.324508181,0.156971445,-0.474441487,0.049789446,-0.454358479,-0.022892406,-0.170622712,-0.177928705
G9_F_C_08_L,G9,F,C,8,L,2.876838379,1.056691906,0.254798458,0.068911486,0.23757881,0.021651753,0.266569173,-0.011371258,0.207086893,-0.054180595,0.196708789,-0.032599338,0.173534002,0.024439982,0.139954853,0.08862357,0.060087206,0.02127954,0.061897,-0.002272969,-0.088972658,-0.028734436,-0.08192413,-0.097472056,-0.327687694,0.16196808,-0.47165461,0.049464987,-0.450757456,-0.031292613,-0.177218636,-0.178416133
G9_F_C_08_R,G9,F,C,8,R,2.88457552,1.059377756,0.253676127,0.06946488,0.24165292,0.02280914,0.266260298,-0.010911338,0.206269302,-0.055602983,0.195296991,-0.032146947,0.171676642,0.024406187,0.137151058,0.090553595,0.060015946,0.020652974,0.061619066,-0.003389992,-0.086768075,-0.029856209,-0.082921852,-0.101164187,-0.332424506,0.160769505,-0.469857249,0.052015667,-0.450768032,-0.025345166,-0.170878636,-0.182255127
G9_F_C_09_L,G9,F,C,9,L,2.589701659,0.951542679,0.247745157,0.068404792,0.238000786,0.022637539,0.265804676,-0.010251113,0.207848274,-0.052146509,0.197062786,-0.032823705,0.170338102,0.024656179,0.138350647,0.084456244,0.064508735,0.020278614,0.068447264,-0.004677722,-0.092298595,-0.029292872,-0.080248422,-0.096573884,-0.322366248,0.160268245,-0.478508619,0.050130834,-0.456417202,-0.027418133,-0.168267343,-0.177648508
G9_F_C_09_R,G9,F,C,9,R,2.584263742,0.949440648,0.248737243,0.068187274,0.239737427,0.022127417,0.2656301,-0.012285119,0.206237123,-0.054100838,0.196284569,-0.033746036,0.16753412,0.023832781,0.139616508,0.087641491,0.064602941,0.020615292,0.068709684,-0.005416181,-0.089025741,-0.028404865,-0.078977662,-0.094399196,-0.328790125,0.160834936,-0.477563514,0.048332438,-0.454358986,-0.027210821,-0.168373687,-0.176008573
G9_F_C_10_L,G9,F,C,10,L,2.606018265,0.957823487,0.25333565,0.070678699,0.237178848,0.023376431,0.270750815,-0.007033151,0.211292734,-0.05547031,0.200408065,-0.03167762,0.167147498,0.02462745,0.141822302,0.085614198,0.056704147,0.020344326,0.058588563,-0.004111007,-0.095443319,-0.032263728,-0.084611082,-0.095939288,-0.317143678,0.159450721,-0.475179358,0.051069279,-0.453031507,-0.028256531,-0.171819679,-0.180409468
G9_F_C_10_R,G9,F,C,10,R,2.631806597,0.967670529,0.252264502,0.071801152,0.24487263,0.025529986,0.269115734,-0.008547446,0.211842352,-0.054109445,0.200191295,-0.032754108,0.166101253,0.024755784,0.139322202,0.086096387,0.055294659,0.020127328,0.058590366,-0.004159926,-0.091363047,-0.033001784,-0.087834943,-0.098538374,-0.318774062,0.158203629,-0.472556499,0.052397029,-0.451989523,-0.028269687,-0.175076919,-0.179530528
